"Country","EPI","Landlock","HighPopDens","ENVHEALTH","ECOSYSTEM"
"Aruba",NA,"No","Yes",NA,NA
"Afghanistan",NA,"Yes","No",11.55292322,NA
"Angola",36.34837918,"No","No",18.29183583,54.40492253
"Anguilla",NA,"No","Yes",NA,NA
"Albania",71.42448495,"No","No",69.9254143,72.9235556
"Andorra",NA,"Yes","Yes",90.20610919,NA
"Netherlands Antilles",NA,"No","No",NA,NA
"United Arab Emirates",40.67042045,"No","No",81.28561421,0.05522669
"Argentina",61.04676944,"No","No",74.49358716,47.59995172
"Armenia",60.4436409,"Yes","No",71.62687873,49.26040306
"American Samoa",NA,"No","Yes",NA,NA
"Antigua and Barbuda",69.7924567,"No","Yes",83.20742586,56.37748755
"Australia",65.65561659,"No","No",91.72779964,39.58343354
"Austria",78.13439012,"Yes","No",89.46777687,66.80100337
"Azerbaijan",59.07585155,"Yes","No",62.72140078,55.43030231
"Burundi",43.9054465,"Yes","Yes",22.56058864,65.25030436
"Belgium",58.07016301,"No","Yes",89.05297799,27.08734803
"Benin",39.59134566,"No","No",22.94293376,56.23975757
"Burkina Faso",47.28716759,"Yes","No",12.24025419,82.334081
"Bangladesh",43.9524516,"No","Yes",32.33271408,55.57218912
"Bulgaria",62.53229547,"No","No",73.21014576,51.85444518
"Bahrain",41.96133901,"No","Yes",83.69379784,0.22888018
"Bahamas",NA,"No","No",76.3638417,NA
"Bosnia and Herzegovina",55.8689708,"No","No",77.1308681,34.60707349
"Belarus",65.36918665,"Yes","No",74.72973325,56.00864005
"Belize",69.92810618,"No","No",67.58051609,72.27569627
"Bermuda",NA,"No","Yes",NA,NA
"Bolivia",44.33745347,"Yes","No",45.40375471,43.27115223
"Brazil",63.40547141,"No","No",71.62561463,55.1853282
"Barbados",NA,"No","Yes",81.19664784,NA
"Brunei Darussalam",60.75092816,"No","No",86.22385538,35.27800094
"Bhutan",68.0188083,"Yes","No",56.87509369,79.16252291
"Botswana",41.31132124,"Yes","No",43.28008126,39.34256122
"Central African Republic",33.34203121,"Yes","No",22.31014169,44.37392073
"Canada",66.43678489,"No","No",92.77335758,40.1002122
"Switzerland",89.09282753,"Yes","No",92.28867067,85.89698439
"Chile",73.34275541,"No","No",81.28324237,65.40226844
"China",49.00473138,"No","No",58.67718147,39.33228129
"Côte d'Ivoire",54.25007472,"No","No",26.21769043,82.28245902
"Cameroon",44.622985,"No","No",27.42889737,61.81707262
"Dem. Rep. Congo",51.63500123,"No","No",11.57523599,91.69476648
"Congo",53.96770251,"No","No",29.35858222,78.5768228
"Cook Islands",NA,"No","No",80.142234,NA
"Colombia",76.77389483,"No","No",74.60495959,78.94283007
"Comoros",NA,"No","Yes",44.75050856,NA
"Cape Verde",NA,"No","No",56.25840441,NA
"Costa Rica",86.39663279,"No","No",82.18334177,90.60992382
"Cuba",78.13140055,"No","No",84.34844318,71.91435792
"Cayman Islands",NA,"No","Yes",NA,NA
"Cyprus",56.26362399,"No","No",87.64214966,24.88509832
"Czech Republic",71.62066293,"Yes","No",86.87497205,56.36635381
"Germany",73.22189021,"No","Yes",90.74564893,55.69813148
"Djibouti",60.54371172,"No","No",51.45126019,69.63616326
"Dominica",NA,"No","No",79.76672543,NA
"Denmark",69.1538307,"No","No",89.81965261,48.48800879
"Dominican Republic",68.44131712,"No","No",72.50574707,64.37688716
"Algeria",67.41236474,"No","No",67.57718934,67.24754013
"Ecuador",69.34254188,"No","No",75.77006125,62.9150225
"Egypt",62.00398418,"No","No",63.03671315,60.97125522
"Eritrea",54.63015918,"No","No",30.53619823,78.72412012
"Western Sahara",NA,"No","No",NA,NA
"Spain",70.61649642,"No","No",88.71268794,52.52030489
"Estonia",63.80333149,"No","No",76.84522824,50.76143474
"Ethiopia",43.14114333,"Yes","No",11.04243835,75.23984832
"Finland",74.74065076,"No","No",90.74564893,58.73565259
"Fiji",65.9107573,"No","No",60.40558321,71.4159314
"Falkland Islands",NA,"No","No",NA,NA
"France",78.21842802,"No","No",90.74564893,65.6912071
"Faeroe Islands",NA,"No","No",NA,NA
"Micronesia",NA,"No","Yes",NA,NA
"Gabon",56.443611,"No","No",54.02965985,58.85756216
"United Kingdom",74.23773053,"No","No",89.81965261,58.65580844
"Georgia",63.64427445,"No","No",72.13649479,55.15205411
"Ghana",51.33391314,"No","No",32.88954336,69.77828291
"Gibraltar",NA,"No","Yes",NA,NA
"Guinea",44.36917577,"No","No",19.59187494,69.1464766
"Guadeloupe",NA,"No","Yes",NA,NA
"Gambia",50.32321476,"No","No",31.05744635,69.58898316
"Guinea-Bissau",44.66846239,"No","No",12.61600655,76.72091822
"Equatorial Guinea",41.90248931,"No","No",35.03725325,48.76772537
"Greece",60.86615528,"No","No",86.59792512,35.13438544
"Grenada",NA,"No","Yes",73.62397698,NA
"Greenland",NA,"No","No",NA,NA
"Guatemala",53.97228309,"No","No",56.38182935,51.56273683
"French Guiana",NA,"No","No",NA,NA
"Guam",NA,"No","Yes",NA,NA
"Guyana",59.24609276,"No","No",66.40193534,52.09025018
"Hong Kong",NA,"No","Yes",NA,NA
"Honduras",49.87176046,"No","No",58.04213818,41.70138273
"Croatia",68.65090997,"No","No",82.46925179,54.83256816
"Haiti",39.49521011,"No","Yes",28.05673494,50.93368527
"Hungary",69.1139546,"Yes","No",82.66173,55.56617921
"Indonesia",44.61431971,"No","No",44.58878967,44.63984975
"Isle of Man",NA,"Yes","No",NA,NA
"India",48.3461902,"No","Yes",41.59283275,55.09954764
"Ireland",67.10605025,"No","No",91.72779964,42.48430086
"Iran",59.96438876,"No","No",70.20513865,49.72363887
"Iraq",40.99762633,"No","No",39.57449187,42.42076079
"Iceland",93.48024724,"No","No",95.0916664,91.86882808
"Israel",62.42746452,"No","No",92.10507962,32.74984943
"Italy",73.0539583,"No","No",90.86779026,55.24012635
"Jamaica",58.03790937,"No","Yes",70.249398,45.82642075
"Jordan",56.1125112,"No","No",76.66573645,35.55928595
"Japan",72.54079024,"No","No",90.18200109,54.8995794
"Kazakhstan",57.30283538,"Yes","No",69.32443727,45.28123349
"Kenya",51.38756631,"No","No",32.15354411,70.62158851
"Kyrgyzstan",59.67629521,"Yes","No",65.29462764,54.05796279
"Cambodia",41.68935536,"No","No",28.81332631,54.5653844
"Kiribati",NA,"No","No",NA,NA
"Saint Kitts and Nevis",NA,"No","Yes",81.88504553,NA
"South Korea",57.04486822,"No","Yes",80.15384725,33.93588919
"Kuwait",51.12549412,"No","No",83.46621227,18.78477598
"Laos",59.60334019,"Yes","No",32.632689,86.57399138
"Lebanon",57.91216252,"No","Yes",77.32596209,38.49836296
"Liberia",NA,"No","No",24.09433871,NA
"Libyan Arab Jamahiriya",50.14262281,"No","No",68.09290026,32.19234536
"Saint Lucia",NA,"No","Yes",80.38819326,NA
"Liechtenstein",NA,"Yes","Yes",NA,NA
"Sri Lanka",63.71435707,"No","Yes",45.83907994,81.5896342
"Lesotho",NA,"Yes","No",44.76643423,NA
"Lithuania",68.3283924,"No","No",74.33782523,62.31895956
"Luxembourg",67.83245841,"Yes","No",90.74564893,44.91926788
"Latvia",72.51366823,"No","No",75.05132923,69.97600723
"Macao",NA,"No","Yes",NA,NA
"Morocco",65.61264634,"No","No",73.38356173,57.84173094
"Monaco",NA,"No","Yes",92.11546284,NA
"Moldova",58.82625409,"Yes","No",68.76927325,48.88323493
"Madagascar",49.16740348,"No","No",21.56833684,76.76647013
"Maldives",65.93851795,"No","Yes",64.2587421,67.61829379
"Mexico",67.34156669,"No","No",76.6279395,58.05519387
"Marshall Islands",NA,"No","Yes",NA,NA
"Macedonia",60.62617293,"Yes","No",77.84549254,43.40685332
"Mali",39.42563027,"Yes","No",9.34039863,69.51086192
"Malta",76.33417785,"No","Yes",92.11546284,60.55289286
"Myanmar",51.2991815,"No","No",42.62591645,59.97244655
"Mongolia",42.7950781,"Yes","No",42.73415882,42.85599738
"Northern Mariana Islands",NA,"No","No",NA,NA
"Mozambique",51.22467288,"No","No",23.11905328,79.33029248
"Mauritania",33.66525073,"No","No",25.96708627,41.36341519
"Montserrat",NA,"No","No",NA,NA
"Martinique",NA,"No","Yes",NA,NA
"Mauritius",80.58444476,"No","Yes",83.65596337,77.51292615
"Malawi",51.4493398,"Yes","No",27.98494039,74.91373921
"Malaysia",64.98594599,"No","No",81.30502631,48.66686566
"Mayotte",NA,"No","Yes",NA,NA
"Namibia",59.27656429,"No","No",52.0191937,66.53393487
"New Caledonia",NA,"No","No",NA,NA
"Niger",37.5686998,"Yes","No",0.05522669,75.08217291
"Norfolk Island",NA,"No","No",NA,NA
"Nigeria",40.19084842,"No","No",17.63821157,62.74348528
"Nicaragua",57.0533949,"No","No",58.73020971,55.37658009
"Niue",NA,"No","No",77.0163006,NA
"Netherlands",66.35542036,"No","Yes",89.33346729,43.37737343
"Norway",81.1321266,"No","No",90.74564893,71.51860427
"Nepal",68.23602764,"Yes","Yes",41.38038889,95.0916664
"Nauru",NA,"No","Yes",NA,NA
"New Zealand",73.35983671,"No","No",90.74564893,55.97402449
"Oman",45.87266266,"No","No",71.27656916,20.46875615
"Pakistan",47.96450237,"No","No",42.82028829,53.10871645
"Panama",71.36649969,"No","No",71.74613022,70.98686916
"Pitcairn",NA,"No","No",NA,NA
"Peru",69.27689448,"No","No",61.34302666,77.2107623
"Philippines",65.68464744,"No","Yes",65.87657216,65.49272273
"Palau",NA,"No","No",NA,NA
"Papua New Guinea",44.29622045,"No","No",35.09890958,53.49353132
"Poland",63.10986488,"No","No",75.19283976,51.02689
"Puerto Rico",NA,"No","Yes",NA,NA
"North Korea",41.81374342,"No","Yes",54.08485701,29.54262983
"Portugal",72.9844967,"No","No",87.57256439,58.39642901
"Paraguay",63.51158177,"Yes","No",58.06785564,68.95530791
"Occupied Palestinian Territory",NA,"No","Yes",NA,NA
"French Polynesia",NA,"No","No",NA,NA
"Qatar",48.88644029,"No","No",87.69090146,10.08197911
"Réunion",NA,"No","Yes",NA,NA
"Romania",67.00872448,"No","No",72.6743686,61.34308036
"Russia",61.21289347,"No","No",68.5922996,53.83348734
"Rwanda",44.60849419,"Yes","Yes",20.32762203,68.88936635
"Saudi Arabia",55.32032411,"No","No",66.6797036,43.96094461
"Serbia and Montenegro",69.37140881,"No","Yes",83.1823611,55.56045651
"Sudan",47.09436788,"No","No",23.61314273,70.57559303
"Senegal",42.27565144,"No","No",27.22787523,57.32342764
"Singapore",69.6363499,"No","Yes",89.18235717,50.09034264
"Saint Helena",NA,"No","No",NA,NA
"Svalbard and Jan Mayen Islands",NA,"No","No",NA,NA
"Solomon Islands",51.10238658,"No","No",54.01304732,48.19172584
"Sierra Leone",32.11719164,"No","No",8.87855832,55.35582497
"El Salvador",69.0737589,"No","Yes",68.88672517,69.26079264
"San Marino",NA,"Yes","Yes",NA,NA
"Somalia",NA,"No","No",11.91591948,NA
"Saint Pierre and Miquelon",NA,"No","No",NA,NA
"Sao Tome and Principe",57.34162173,"No","Yes",43.14471171,71.53853174
"Suriname",68.17771764,"No","No",70.73451083,65.62092446
"Slovakia",74.45563309,"Yes","No",84.49771421,64.41355198
"Slovenia",64.95094711,"No","No",84.97529361,44.92660061
"Sweden",86.04813233,"No","No",92.77335758,79.32290708
"Swaziland",54.39303912,"Yes","No",38.04716176,70.73891649
"Seychelles",NA,"No","Yes",79.41762836,NA
"Syria",64.58092124,"No","No",73.66768458,55.49415791
"Turks and Caicos Islands",NA,"No","No",NA,NA
"Chad",40.84718196,"Yes","No",6.13403546,75.56032846
"Togo",36.43259016,"No","No",23.15226765,49.71291266
"Thailand",62.15487365,"No","No",65.57992701,58.7298203
"Tajikistan",51.28720671,"Yes","No",52.04350978,50.53090364
"Tokelau",NA,"No","No",NA,NA
"Turkmenistan",38.39476221,"Yes","No",51.23561494,25.55390948
"Timor-Leste",NA,"No","No",NA,NA
"Tonga",NA,"No","No",71.4268018,NA
"Trinidad and Tobago",54.247096,"No","Yes",70.16836549,38.32582652
"Tunisia",60.58068468,"No","No",77.16300135,43.99836801
"Turkey",60.39754346,"No","No",74.45334583,46.34174109
"Tuvalu",NA,"No","Yes",NA,NA
"Taiwan",NA,"No","Yes",NA,NA
"Tanzania",47.9033861,"No","No",25.91276235,69.89400986
"Uganda",49.77065726,"Yes","No",27.93864121,71.6026733
"Ukraine",58.21770625,"No","No",73.85056854,42.58484395
"Uruguay",59.10517433,"No","No",71.99771421,46.21263445
"United States of America",63.47516286,"No","No",88.30042749,38.64989824
"Uzbekistan",42.26877787,"Yes","No",64.11724077,20.42031498
"Holy See",NA,"No","No",NA,NA
"Saint Vincent and the Grenadines",NA,"No","Yes",NA,NA
"Venezuela",62.89989362,"No","No",79.13164722,46.66814003
"British Virgin Islands",NA,"No","Yes",NA,NA
"United States Virgin Islands",NA,"No","Yes",NA,NA
"Viet Nam",58.99939314,"No","No",59.88879659,58.10998969
"Vanuatu",NA,"No","No",52.68667951,NA
"Wallis and Futuna Islands",NA,"No","No",NA,NA
"Samoa",NA,"No","No",NA,NA
"Yemen",48.31278218,"No","No",34.94886446,61.67669989
"South Africa",50.78513201,"No","No",58.99982012,42.5704439
"Zambia",47.00481272,"Yes","No",24.2112678,69.79835765
"Zimbabwe",47.81761919,"Yes","No",38.03894484,57.59629354
